Sample	Distance(cm)
1477	22.6399	
1478	22.4911	
1479	22.3682	
1480	22.2065	
1481	22.0921	
1482	21.9605	
1483	21.7601	
1484	21.6974	
1485	21.6045	
1486	21.4385	
1487	21.4058	
1488	21.4118	
1489	21.3878	
1490	21.3508	
1491	21.3138	
1492	21.2983	
1493	21.2996	
1494	21.3013	
1495	21.3289	
1496	21.365	
1497	21.414	
1498	21.4759	
1499	21.5335	
1500	21.6256	
1501	21.7262	
1502	21.8397	
1503	21.9661	
1504	22.1011	
1505	22.2319	
1506	22.3535	
1507	22.4929	
1508	22.6322	
1509	22.7758	
1510	22.928	
1511	23.0974	
1512	23.297	
1513	23.4965	
1514	23.6573	
1515	23.8009	
1516	23.9489	
1517	24.0796	
1518	24.2099	
1519	24.3535	
1520	24.4541	
1521	24.5375	
1522	24.608	
1523	24.6829	
1524	24.7362	
1525	24.7723	
1526	24.8041	
1527	24.8574	
1528	24.9409	
1529	24.9684	
1530	24.9787	
1531	24.9714	
1532	24.9258	
1533	24.8458	
1534	24.7659	
1535	24.6988	
1536	24.593	
1537	24.4313	
1538	24.3169	
1539	24.1811	
1540	23.9592	
1541	23.8663	
1542	23.6745	
1543	23.5945	
1544	23.5016	
1545	23.2841	
1546	23.1869	
1547	22.9736	
1548	22.8162	
1549	22.6502	
1550	22.4972	
1551	22.3441	
1552	22.1953	
1553	22.0852	
1554	21.9747	
1555	21.8689	
1556	21.7933	
1557	21.7305	
1558	21.6763	
1559	21.6221	
1560	21.5636	
1561	21.5181	
1562	21.4682	
1563	21.4054	
1564	21.4071	
1565	21.4346	
1566	21.4708	
1567	21.5112	
1568	21.5645	
1569	21.6436	
1570	21.7399	
1571	21.8358	
1572	21.945	
1573	22.0629	
1574	22.1764	
1575	22.2899	
1576	22.4206	
1577	22.5513	
1578	22.6821	
1579	22.8214	
1580	22.9607	
1581	23.1	
1582	23.2393	
1583	23.3653	
1584	23.4918	
1585	23.6268	
1586	23.7532	
1587	23.8667	
1588	23.9802	
1589	24.0723	
1590	24.1428	
1591	24.2133	
1592	24.2752	
1593	24.3242	
1594	24.3561	
1595	24.3879	
1596	24.3978	
1597	24.4038	
1598	24.3797	
1599	24.3642	
1600	24.3401	
1601	24.2946	
1602	24.2361	
1603	24.169	
1604	24.089	
1605	23.9961	
1606	23.8775	
1607	23.7631	
1608	23.6444	
1609	23.5171	
1610	23.3855	
1611	23.2583	
1612	23.1224	
1613	22.9779	
1614	22.842	
1615	22.7147	
